"customer_id","rfm_score"
2437,444
670,444
1058,444
1975,444
822,444
1544,444
1846,444
2135,444
2807,444
1395,444
1211,444
1067,444
2482,444
1338,444
2486,444
1757,444
2835,444
373,444
2416,444
3235,444
591,444
1281,444
2003,444
2431,444
3317,444
1175,444
1365,444
3218,444
1620,444
1387,444
332,444
1269,444
78,444
754,444
2612,444
1109,444
190,444
1055,444
898,444
2666,444
3442,444
3040,444
780,444
271,444
1560,444
60,444
592,444
1257,444
164,444
2209,444
812,444
2902,444
4,444
146,444
2896,444
2145,444
518,444
1747,444
3491,444
2688,444
2634,444
1097,444
922,444
1352,444
1626,444
1271,444
212,444
3037,444
3397,444
2547,444
2243,444
2387,444
734,444
801,444
1605,444
557,444
1020,444
2271,444
7,444
1294,444
2863,444
1231,444
811,444
3175,444
1786,444
956,444
2337,444
2802,444
872,444
2059,444
2242,444
622,444
1083,444
3078,444
2256,444
2939,444
2228,444
1772,444
1819,444
1520,444
1836,444
1066,444
890,444
1135,444
1403,444
3066,444
1160,444
36,444
2090,444
3243,444
3073,444
3414,444
530,444
2394,444
3428,444
326,444
2157,444
3092,444
1491,444
3179,444
552,444
2287,444
2974,444
161,444
3033,444
1441,444
837,444
644,444
26,444
286,444
521,444
1164,444
1978,444
278,444
575,444
2328,444
2403,444
910,444
1828,444
2129,444
3449,444
274,444
3234,444
1922,444
415,444
2720,444
2735,444
2978,444
623,444
2089,444
930,444
1283,444
1962,444
393,444
379,444
3180,444
2829,444
301,444
2303,444
2716,444
784,444
2926,444
2255,444
774,444
778,444
2739,444
1011,444
512,444
2532,444
487,444
1635,444
302,444
1053,444
2895,444
2420,444
1064,444
1521,444
431,444
3410,444
992,444
755,444
3321,444
2040,444
3359,444
1334,444
157,444
1774,444
3457,444
2002,444
1716,444
474,444
1448,444
341,444
2970,444
494,444
1673,444
2086,444
2704,444
584,444
162,444
1228,444
207,444
1865,444
1209,444
1658,444
71,444
1604,444
264,444
751,444
1632,444
2911,444
3348,444
120,444
948,444
501,444
1856,444
2035,444
1276,444
2979,444
170,444
77,444
1010,444
2744,444
1715,444
845,444
1023,444
2147,444
3025,444
1724,444
2250,444
3041,444
1034,444
1434,444
2706,444
306,444
1796,444
3416,444
2393,444
1529,444
191,444
1851,444
573,444
1712,444
2197,444
1704,444
1362,444
2291,444
1465,444
2224,444
226,444
1112,444
1350,444
1173,444
2828,444
2849,444
2690,444
2870,444
2882,444
1744,444
1945,444
2721,444
1246,444
163,444
1099,444
1416,444
1907,444
2398,444
3272,444
2211,444
434,444
988,444
2326,444
3279,444
1943,444
3292,444
2525,444
3091,444
618,444
2011,444
998,444
2876,444
972,443
1680,443
708,443
2745,443
3059,443
2742,443
3260,443
1768,443
2238,443
2964,443
586,443
1045,443
2265,443
1380,443
2077,443
2091,443
808,443
1778,443
2323,443
2975,443
1386,443
715,443
2927,443
3005,443
1382,443
2327,443
595,443
1896,443
152,443
141,443
3424,443
1437,443
3354,443
2657,443
2545,443
1360,443
1562,443
1433,443
1981,443
2873,443
3162,443
659,443
2186,443
2795,443
927,443
600,443
194,443
160,443
2,443
2792,443
2499,443
2959,443
2521,443
881,443
1888,442
2026,442
2321,442
123,442
1675,442
2517,442
2037,442
3192,442
2757,442
1017,442
2754,442
2411,442
2429,442
2588,442
1392,442
121,442
3107,442
3102,442
2600,442
1800,442
105,442
624,442
1679,442
3001,442
2957,442
1563,442
2225,442
555,442
19,442
735,442
3403,442
1596,442
855,442
1266,442
2960,442
111,442
1458,442
1852,442
2858,442
1592,442
860,442
244,442
3168,441
569,441
1141,434
3458,434
2315,434
375,434
616,434
2933,434
1238,434
1051,434
678,434
